Key,SourceString
StartGame,开始游戏
Settings,设置
Credits,制作团队
QuitGame,退出游戏
StartGameDescription,开始一轮新游戏或者继续游戏
SettingsDescription,调整设置，获得更好体验
CreditsDescription,查看制作团队成员名单
QuitGameDescription,休息一下，喝一杯热水，或者活动一下身体
ClickAction,点击
BackAction,返回
,
,
GameplayCollection,游戏设置
AudioCollection,音频设置
VideoCollection,视频设置
ControlCollection,控制设置
,
NewGame,新游戏
ContinueGame,继续游戏
NewGamePlus,新游戏+
NewGameDescription,开始一段新的冒险
ContinueGameDescription,从上次您离开的地方继续
NewGamePlusDescription,开始新游戏，继承之前通关的数据
,
Yes,是的
No,不是
OK,好的
Cancel,取消
Accept,接受
Decline,拒绝
