Key,SourceString
WindowModeSettingDescriptionKey,<Bold>窗口模式：</>您可以更轻松地与其他窗口进行交互，并拖动窗口边缘来调整大小。\n\n<Bold>无边框窗口：</>您可以轻松地在应用程序之间切换。\n\n<Bold>全屏模式：</>您无法像在窗口模式中那样轻松地与其他窗口进行交互，但游戏运行速度会稍快一些。
ScreenResolutionsSettingDescriptionKey,在窗口模式下，显示分辨率决定窗口的大小。在全屏模式下，显示分辨率决定显卡的输出分辨率，这可能会因显示器和显卡的不同而产生黑边。在窗口全屏模式下，显示分辨率不起作用。
DisplayGammaSettingDescriptionKey,调整亮度。
OverallQualitySettingDescriptionKey,“质量预设”功能可让您一次性调整多个视频选项。尝试几个选项，看看哪些选项符合您的偏好和设备的性能。
ResolutionScaleSettingDescriptionKey,3D分辨率决定了游戏中物体的渲染分辨率，但不影响主菜单。较低的分辨率可以显著提高帧率。
GlobalIlluminationQualitySettingDescriptionKey,全局照明控制着动态计算的间接照明反弹、天空阴影和环境光遮挡的质量。“高”及以上的设置使用更精确的光线追踪方法来求解照明，但可能会降低性能。
ShadowQualitySettingDescriptionKey,阴影质量决定了动态阴影的分辨率和可视距离。阴影能提升视觉质量，增强深度感，但可能会降低性能。
AntiAliasingSettingDescriptionKey,抗锯齿功能可减少几何体边缘的锯齿状瑕疵。提高此设置将使边缘看起来更平滑，但可能会降低性能。设置越高，抗锯齿效果越好。
ViewDistanceSettingDescriptionKey,视距决定了为了性能考虑而剔除的物体的最远距离。
TextureQualitySettingDescriptionKey,纹理质量决定了游戏中纹理的分辨率。提高此设置会使物体更加精细，但会降低性能。
VisualEffectQualitySettingDescriptionKey,“视觉效果”决定了游戏中视觉效果和光照的质量。提高此设置将提升视觉效果的质量，但可能会降低性能。
ReflectionQualitySettingDescriptionKey,反射质量决定了反射的分辨率和准确性。“高”及以上的设置会使用更精确的光线追踪方法来求解反射，但可能会降低性能。
PostProcessingQualitySettingDescriptionKey,后处理效果包括运动模糊、景深和光斑。提高此设置可提升后处理效果的质量，但可能会降低性能。
VerticalSyncSettingDescriptionKey,启用垂直同步会始终渲染并呈现完整帧，从而消除画面撕裂现象。禁用垂直同步可提高帧率并改善输入响应，但可能会导致水平画面撕裂。
FrameRateLimitSettingDescriptionKey,帧率限制设定了允许的最高帧率。若想获得更稳定的帧率，请将此值设置得较低；若想在配置较高的机器上获得最佳体验，则可设置得较高。为达到高帧率，您可能需要禁用垂直同步（Vsync）。
,
WindowModeSettingNameKey,窗口模式
ScreenResolutionsSettingNameKey,屏幕分辨率
DisplayGammaSettingNameKey,亮度
OverallQualitySettingNameKey,质量预设
ResolutionScaleSettingNameKey,3D分辨率
GlobalIlluminationQualitySettingNameKey,全局光照
ShadowQualitySettingNameKey,阴影质量
AntiAliasingSettingNameKey,抗锯齿质量
ViewDistanceSettingNameKey,视野距离
TextureQualitySettingNameKey,纹理质量
VisualEffectQualitySettingNameKey,视觉效果质量
ReflectionQualitySettingNameKey,反射质量
PostProcessingQualitySettingNameKey,后处理质量
VerticalSyncSettingNameKey,垂直同步
FrameRateLimitSettingNameKey,帧率上限
